"portal_with_offers","succesfull_application_count"
"WSAV Jobs","26"
"Jobscout24","26"
"Georgia Jobs - Tarta.ai","26"
"Kandideeri.ee","26"
"Jobvector","26"
"Jobs At Johns Hopkins University","26"
"Tapnjob","26"
"Career Associated","26"
"LinkedIn العراق","26"
"Oracle","26"
"Colorado Jobs - Tarta.ai","25"
"Monster.se","25"
"Jobs At Colgate","25"
"Peloton Careers","25"
"IT Job Board","25"
"LinkedIn Montenegro","25"
"Eg.jobmeo.com","25"
"Ni Jobs","25"
"Careers - Gainwell Technologies","25"
"Zuercher-Jobs.ch","25"
"Crescendo Global","24"
"BeBee Slovakia","24"
"UOB Careers","24"
"Truecaller","24"
"TopCV","24"
"Teamlease","24"
"Jobeo","24"
"BeBee 台湾","24"
"Www.getonbrd.com","24"
"Ua.habooz.com","24"
"BeBee Uzbekistan","24"
"Rapid Interviews","24"
"Big Bend Holiday Hotel","24"
"Metromanilajobs.net","24"
"Glocomms","24"
"UNJoblink Careers","24"
"IHispano","24"
"Cataloxy Астана - Cataloxy-Kz.ru","24"
"Wiijob","24"
"LinkedIn Rwanda","24"
"Paramount Careers","24"
"Simera-Talent.freshteam.com","24"
"LinkedIn Nicaragua","24"
"GoZambiaJobs","24"
"LinkedIn Ethiopia","24"
"8h.sk","24"
"King Careers","24"
"LinkedIn Venezuela","23"
"Texomas Jobs","23"
"Randstad Singapore","23"
"Monster.lu","23"
"Diversity Dashboard","23"
"Techit דרושים","23"
"Jobs At Vodafone - Vodafone Group","23"
"Jobylon","23"
"Stage.fr","23"
"New York State Job Bank - National Labor Exchange","23"
"Jobs.ie","23"
"AECOM Jobs","23"
"LinkedIn Liberia","23"
"LinkedIn Iceland","23"
"Japan Dev","23"
"Deloitte Jobs","23"
"Hackr.io Jobs","23"
"LinkedIn سلطنة عمان","23"
"Jobs For Ukraine France","23"
"Flutter International","23"
"ANZ Careers","23"
"AMD Careers","22"
"Cathcart Technology","22"
"Jobs In South Africa","22"
"Work In Tech Job Board - Communitech","22"
"State Farm Careers","22"
"Pearson Jobs","22"
"Хабр Карьера - Habr","22"
"DJobBuzz.com","22"
"Allstate Careers - Allstate Insurance Company","22"
"Metrica Recruitment","22"
"Randstad Malaysia","22"
"Jobs In India - Job Vacancies In India","22"
"Publicis Sapient Careers","22"
"Www.jobijoba.de","22"
"IBM - Talentify","22"
